orderID,created_at,paid_at,delivery_at,status
3,2019-06-01,2019-06-04,2019-06-12,Completed
5,2019-04-02,2019-04-05,2019-04-09,Completed
8,2019-08-02,2019-08-13,2019-08-20,Completed
19,2020-05-16,NULL,NULL,Unpaid
31,2019-03-12,2019-03-17,2019-03-20,Completed
33,2019-07-09,2019-07-14,2019-07-14,Completed
36,2019-03-29,2019-04-11,2019-04-13,Completed
48,2019-10-20,2019-11-01,2019-11-12,Completed
58,2019-08-29,2019-09-08,2019-09-19,Completed
67,2020-02-17,2020-02-18,2020-02-29,Completed
72,2019-05-17,2019-05-19,2019-05-26,Completed
73,2019-11-17,2019-11-30,2019-12-09,Completed
83,2019-09-30,2019-10-07,2019-10-09,Completed
87,2020-05-29,2020-06-03,2020-06-14,Completed
103,2019-12-12,2019-12-13,2019-12-16,Completed
104,2020-02-03,2020-02-09,2020-02-13,Completed
105,2019-06-17,2019-07-01,2019-07-02,Completed
107,2020-04-08,2020-04-20,2020-04-26,Completed
110,2020-04-25,2020-04-27,2020-05-08,Completed
122,2020-01-22,2020-02-03,2020-02-07,Completed
129,2020-01-30,2020-02-02,2020-02-09,Completed
135,2019-11-05,2019-11-19,NULL,"Paid & Undelivered"
151,2020-05-18,2020-05-19,2020-05-26,Completed
152,2020-05-17,2020-05-28,2020-06-06,Completed
155,2019-12-16,2019-12-20,2019-12-24,Completed
157,2020-01-07,2020-01-14,2020-01-17,Completed
180,2019-11-29,2019-12-03,2019-12-11,Completed
186,2019-08-25,2019-09-05,2019-09-16,Completed
188,2020-04-30,2020-05-13,2020-05-27,Completed
192,2019-12-22,2020-01-05,2020-01-06,Completed
198,2019-09-08,2019-09-12,2019-09-20,Completed
208,2019-08-19,2019-09-01,2019-09-07,Completed
231,2020-04-17,2020-04-29,2020-05-11,Completed
235,2019-12-14,2019-12-23,2019-12-25,Completed
237,2020-01-18,2020-01-29,2020-02-02,Completed
242,2020-05-09,2020-05-17,2020-05-31,Completed
243,2019-08-09,2019-08-23,2019-09-04,Completed
248,2020-04-11,2020-04-15,2020-04-24,Completed
259,2020-05-24,2020-05-30,2020-06-03,Completed
278,2020-04-11,2020-04-15,2020-04-15,Completed
280,2019-09-30,2019-10-07,2019-10-13,Completed
283,2020-05-21,2020-06-03,2020-06-15,Completed
291,2020-03-02,2020-03-12,2020-03-12,Completed
295,2019-10-07,2019-10-11,2019-10-16,Completed
302,2019-11-21,2019-11-22,2019-12-02,Completed
305,2019-07-09,2019-07-13,2019-07-16,Completed
312,2019-12-30,2020-01-08,2020-01-17,Completed
320,2019-12-07,NULL,NULL,Unpaid
328,2020-01-29,2020-02-08,2020-02-08,Completed
329,2019-08-09,2019-08-17,2019-08-23,Completed
339,2019-07-08,2019-07-19,2019-07-30,Completed
340,2019-09-09,2019-09-13,2019-09-13,Completed
344,2019-10-09,2019-10-16,2019-10-18,Completed
350,2019-08-08,NULL,NULL,Unpaid
351,2020-05-25,2020-06-06,2020-06-17,Completed
354,2019-11-23,2019-11-25,2019-11-25,Completed
359,2019-09-10,2019-09-22,2019-09-24,Completed
361,2019-06-21,2019-06-30,2019-07-04,Completed
369,2020-05-26,2020-06-09,2020-06-11,Completed
370,2020-04-03,2020-04-05,2020-04-17,Completed
377,2020-05-31,2020-06-13,2020-06-19,Completed
381,2020-02-05,2020-02-17,2020-02-18,Completed
397,2019-10-12,2019-10-13,2019-10-21,Completed
407,2019-12-05,2019-12-19,2020-01-02,Completed
413,2019-12-14,2019-12-26,2019-12-28,Completed
418,2020-04-05,2020-04-10,2020-04-24,Completed
421,2019-12-11,2019-12-19,2019-12-30,Completed
426,2019-12-16,2019-12-25,2019-12-29,Completed
431,2019-12-11,2019-12-12,2019-12-17,Completed
434,2020-03-04,2020-03-14,2020-03-23,Completed
449,2019-09-05,2019-09-14,2019-09-24,Completed
451,2020-01-01,2020-01-13,2020-01-13,Completed
466,2020-02-20,2020-02-26,2020-02-27,Completed
467,2020-04-16,2020-04-18,2020-04-24,Completed
470,2019-08-17,2019-08-27,2019-08-28,Completed
485,2019-06-11,2019-06-20,2019-06-20,Completed
486,2020-05-26,2020-06-09,2020-06-23,Completed
487,2020-02-16,2020-02-19,2020-02-24,Completed
501,2019-11-09,2019-11-14,2019-11-21,Completed
502,2019-12-26,2020-01-06,2020-01-16,Completed
504,2020-01-07,2020-01-08,2020-01-13,Completed
512,2020-04-10,2020-04-15,2020-04-29,Completed
521,2019-05-29,2019-05-30,2019-06-04,Completed
522,2019-12-10,2019-12-12,2019-12-13,Completed
537,2019-11-01,2019-11-06,2019-11-10,Completed
543,2019-10-09,2019-10-22,2019-10-24,Completed
557,2020-03-16,2020-03-23,2020-04-03,Completed
567,2020-01-12,2020-01-16,2020-01-30,Completed
574,2019-11-26,2019-12-05,2019-12-19,Completed
582,2019-09-29,2019-10-11,2019-10-20,Completed
586,2019-10-02,2019-10-14,2019-10-20,Completed
590,2019-12-15,2019-12-19,NULL,"Paid & Undelivered"
598,2020-04-03,NULL,NULL,Unpaid
600,2020-01-29,2020-02-05,2020-02-11,Completed
625,2019-12-08,2019-12-13,2019-12-18,Completed
638,2019-07-07,2019-07-20,2019-07-26,Completed
639,2020-05-28,2020-06-08,2020-06-14,Completed
659,2020-04-17,2020-04-30,2020-05-03,Completed
663,2019-10-25,2019-10-30,2019-11-08,Completed
664,2019-12-13,2019-12-25,2019-12-25,Completed
676,2020-02-02,2020-02-04,2020-02-15,Completed
690,2019-09-23,2019-10-02,2019-10-04,Completed
698,2020-04-06,2020-04-13,2020-04-13,Completed
704,2019-08-23,2019-08-26,NULL,"Paid & Undelivered"
706,2020-02-14,NULL,NULL,Unpaid
708,2019-12-20,2019-12-28,2020-01-06,Completed
712,2020-04-24,2020-04-30,2020-05-06,Completed
726,2019-12-29,2020-01-10,2020-01-18,Completed
730,2020-02-04,2020-02-05,2020-02-07,Completed
736,2020-05-16,2020-05-22,2020-05-23,Completed
742,2019-09-23,2019-09-29,2019-10-07,Completed
744,2019-10-11,2019-10-24,2019-10-27,Completed
758,2019-09-28,2019-10-12,2019-10-24,Completed
765,2020-04-07,2020-04-18,2020-04-25,Completed
766,2020-01-19,2020-02-02,2020-02-08,Completed
775,2020-03-10,2020-03-23,2020-03-27,Completed
779,2020-02-17,2020-02-26,NULL,"Paid & Undelivered"
781,2020-05-22,2020-05-28,NULL,"Paid & Undelivered"
782,2019-04-07,2019-04-15,2019-04-15,Completed
783,2020-01-13,2020-01-20,2020-01-24,Completed
809,2020-02-02,2020-02-14,2020-02-18,Completed
810,2020-01-16,2020-01-28,2020-02-03,Completed
814,2019-12-17,2019-12-21,2020-01-01,Completed
815,2019-11-13,2019-11-14,NULL,"Paid & Undelivered"
816,2020-05-23,2020-05-29,NULL,"Paid & Undelivered"
821,2019-09-18,2019-09-30,2019-09-30,Completed
823,2019-05-05,2019-05-15,2019-05-27,Completed
827,2020-05-30,2020-05-31,2020-06-10,Completed
