orderID,created_at
370255,2019-01-05
405508,2019-01-06
241167,2019-01-06
178146,2019-01-06
22618,2019-01-07
133220,2019-01-08
239569,2019-01-09
437323,2019-01-10
174662,2019-01-10
308718,2019-01-11
406776,2019-01-11
19750,2019-01-11
38295,2019-01-11
403243,2019-01-13
331701,2019-01-14
73234,2019-01-14
13753,2019-01-15
32990,2019-01-15
64268,2019-01-15
420037,2019-01-15
193984,2019-01-15
215048,2019-01-16
108271,2019-01-16
323885,2019-01-16
481851,2019-01-17
474067,2019-01-18
53976,2019-01-18
356247,2019-01-18
192544,2019-01-18
240191,2019-01-18
464188,2019-01-19
52876,2019-01-19
72511,2019-01-19
78959,2019-01-20
456937,2019-01-20
465685,2019-01-20
347349,2019-01-20
276751,2019-01-20
179819,2019-01-20
180256,2019-01-20
132580,2019-01-21
217251,2019-01-21
370458,2019-01-21
400218,2019-01-21
405523,2019-01-21
64173,2019-01-21
441188,2019-01-21
311675,2019-01-21
112091,2019-01-22
181057,2019-01-22
380986,2019-01-22
471121,2019-01-22
478712,2019-01-23
486630,2019-01-23
35073,2019-01-23
37241,2019-01-23
257494,2019-01-23
280904,2019-01-23
283691,2019-01-23
404430,2019-01-23
352550,2019-01-24
155916,2019-01-24
190829,2019-01-24
458459,2019-01-24
247948,2019-01-24
258588,2019-01-24
283153,2019-01-24
317043,2019-01-24
27666,2019-01-25
83711,2019-01-25
82049,2019-01-26
86805,2019-01-26
272593,2019-01-26
302110,2019-01-26
375717,2019-01-26
383414,2019-01-26
428870,2019-01-26
459586,2019-01-26
167369,2019-01-27
4578,2019-01-27
85722,2019-01-27
87175,2019-01-27
67734,2019-01-28
147957,2019-01-28
256509,2019-01-28
459960,2019-01-28
471485,2019-01-28
486668,2019-01-28
488219,2019-01-28
378611,2019-01-28
426322,2019-01-28
366089,2019-01-29
230842,2019-01-29
238107,2019-01-29
247856,2019-01-29
287796,2019-01-29
322609,2019-01-29
156517,2019-01-29
182578,2019-01-29
452793,2019-01-29
453558,2019-01-29
492015,2019-01-30
226591,2019-01-30
227018,2019-01-30
319994,2019-01-30
65636,2019-01-30
404501,2019-01-30
190819,2019-01-30
117245,2019-01-31
1652,2019-01-31
33558,2019-01-31
46210,2019-01-31
61318,2019-01-31
476200,2019-01-31
222730,2019-01-31
236787,2019-01-31
279114,2019-01-31
1376,2019-02-01
67524,2019-02-01
108323,2019-02-01
402760,2019-02-01
362948,2019-02-02
382678,2019-02-02
223468,2019-02-02
307407,2019-02-02
307636,2019-02-02
170478,2019-02-02
35306,2019-02-02
61706,2019-02-02
95113,2019-02-03
246133,2019-02-03
309881,2019-02-03
366397,2019-02-03
376251,2019-02-03
388370,2019-02-03
430541,2019-02-03
111296,2019-02-03
132192,2019-02-03
133343,2019-02-03
184793,2019-02-04
196578,2019-02-04
282558,2019-02-04
474093,2019-02-04
345182,2019-02-04
361008,2019-02-04
381148,2019-02-04
425669,2019-02-04
432416,2019-02-04
389564,2019-02-05
252985,2019-02-05
290838,2019-02-05
13080,2019-02-05
49441,2019-02-05
49458,2019-02-05
63304,2019-02-05
113256,2019-02-05
149989,2019-02-05
180935,2019-02-05
214159,2019-02-05
449410,2019-02-05
457749,2019-02-05
466899,2019-02-05
29613,2019-02-06
66894,2019-02-06
366927,2019-02-06
370767,2019-02-06
378134,2019-02-06
422651,2019-02-06
283485,2019-02-06
303245,2019-02-06
304529,2019-02-06
318775,2019-02-06
211067,2019-02-06
130452,2019-02-07
208536,2019-02-07
398212,2019-02-07
438164,2019-02-07
38409,2019-02-07
256585,2019-02-07
257703,2019-02-07
274107,2019-02-07
276097,2019-02-07
307589,2019-02-07
140787,2019-02-08
146018,2019-02-08
188816,2019-02-08
211489,2019-02-08
331283,2019-02-08
357814,2019-02-08
410119,2019-02-08
89774,2019-02-08
5022,2019-02-09
15856,2019-02-09
26474,2019-02-09
211482,2019-02-09
447039,2019-02-09
236946,2019-02-09
241365,2019-02-09
270395,2019-02-09
320687,2019-02-09
351526,2019-02-09
391728,2019-02-09
400657,2019-02-09
351757,2019-02-10
353831,2019-02-10
401695,2019-02-10
410871,2019-02-10
432781,2019-02-10
44309,2019-02-10
154041,2019-02-10
159891,2019-02-10
191010,2019-02-10
255712,2019-02-10
302354,2019-02-10
312696,2019-02-10
220314,2019-02-11
284318,2019-02-11
298196,2019-02-11
51303,2019-02-11
357649,2019-02-11
421056,2019-02-11
118044,2019-02-11
